Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,Chrome 67.0.3396.87,,2018-06-18 10:42:52,2018-06-18 10:43:18,25.745s,ERROR
,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login,Chrome 67.0.3396.87,Verify if users can login successful. \n\nSteps:\n- Click on 'Book Appointment' button to login\n- Input username and password\n- Click on 'Login' button\n\nExpected result:\n'Appointment' section is displayed after successful login,2018-06-18 10:42:53,2018-06-18 10:43:10,17.335s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-18 10:42:54,2018-06-18 10:42:54,0.104s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-18 10:42:54,2018-06-18 10:42:54,0.005s,PASSED
openBrowser,Chrome 67.0.3396.87,,2018-06-18 10:42:54,2018-06-18 10:43:07,12.994s,PASSED
click,Chrome 67.0.3396.87,,2018-06-18 10:43:07,2018-06-18 10:43:08,0.959s,PASSED
waitForElementVisible,Chrome 67.0.3396.87,,2018-06-18 10:43:08,2018-06-18 10:43:08,0.112s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-18 10:43:08,2018-06-18 10:43:08,0.274s,PASSED
setText,Chrome 67.0.3396.87,,2018-06-18 10:43:08,2018-06-18 10:43:09,0.282s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-18 10:43:09,2018-06-18 10:43:09,0.004s,PASSED
click,Chrome 67.0.3396.87,,2018-06-18 10:43:09,2018-06-18 10:43:10,0.921s,PASSED
comment,Chrome 67.0.3396.87,,2018-06-18 10:43:10,2018-06-18 10:43:10,0.002s,PASSED
"Statement - landingPage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_CuraAppointment/div_Appointment), G_Timeout)",Chrome 67.0.3396.87,,2018-06-18 10:43:10,2018-06-18 10:43:10,0.117s,PASSED
com.commonkeyword.newKeyword.switchWindow,Chrome 67.0.3396.87,,2018-06-18 10:43:10,2018-06-18 10:43:10,0.017s,PASSED
closeBrowser,Chrome 67.0.3396.87,,2018-06-18 10:43:10,2018-06-18 10:43:10,0.747s,PASSED
,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment,Chrome 67.0.3396.87,Verify if users can book an appointment sucessfully.\nPre-condition: Users have already logged in\n\nSteps:\n- Fill in appoinment's information\n- Click on appointment's button\n\nExpected results:\nAppointment Confirmation page is displayed,2018-06-18 10:43:10,2018-06-18 10:43:18,7.290s,ERROR
Statement - Try,Chrome 67.0.3396.87,,2018-06-18 10:43:11,2018-06-18 10:43:17,6.398s,PASSED
Statement - Catch (Throwable t),Chrome 67.0.3396.87,,2018-06-18 10:43:17,2018-06-18 10:43:17,0.002s,PASSED
Statement - Finally,Chrome 67.0.3396.87,,2018-06-18 10:43:17,2018-06-18 10:43:18,0.704s,PASSED
